,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수
212,2020,2,A,골목상권,1000266,돌곶이로41길,6
213,2020,2,A,골목상권,1000267,돌곶이로8길,3
214,2020,2,A,골목상권,1000268,동소문로13길,10
215,2020,2,A,골목상권,1000269,동소문로15길,13
216,2020,2,A,골목상권,1000270,동소문로26가길,20
217,2020,2,A,골목상권,1000271,동소문로2길,14
218,2020,2,A,골목상권,1000272,동소문로6길,14
219,2020,2,A,골목상권,1000273,보국문로16길,17
220,2020,2,A,골목상권,1000274,보문로13길,9
221,2020,2,A,골목상권,1000275,보문로26길,1
222,2020,2,A,골목상권,1000276,보문로31길,13
223,2020,2,A,골목상권,1000277,보문로32길,4
224,2020,2,A,골목상권,1000278,삼선교로10길,13
225,2020,2,A,골목상권,1000279,삼선교로10다길,1
226,2020,2,A,골목상권,1000280,삼선교로16가길,16
227,2020,2,A,골목상권,1000281,삼양로8길,13
228,2020,2,A,골목상권,1000282,성북로8길,7
229,2020,2,A,골목상권,1000283,솔샘로6길,8
230,2020,2,A,골목상권,1000284,아리랑로4길,26
231,2020,2,A,골목상권,1000285,안암로5길,7
232,2020,2,A,골목상권,1000286,오패산로19길,11
233,2020,2,A,골목상권,1000287,오패산로3길,3
234,2020,2,A,골목상권,1000288,오패산로4길,25
235,2020,2,A,골목상권,1000289,인촌로17가길,10
236,2020,2,A,골목상권,1000037,동호로20길,5
237,2020,2,A,골목상권,1000290,인촌로1길,11
238,2020,2,A,골목상권,1000291,개운사길,6
239,2020,2,A,골목상권,1000292,인촌로24길,14
240,2020,2,A,골목상권,1000293,인촌로5길,4
241,2020,2,A,골목상권,1000294,인촌로6길,10
242,2020,2,A,골목상권,1000295,장월로1길,9
243,2020,2,A,골목상권,1000296,장위로50길,17
244,2020,2,A,골목상권,1000297,정릉로26길,12
245,2020,2,A,골목상권,1000298,정릉로27길,6
246,2020,2,A,골목상권,1000299,정릉로8길,11
247,2020,2,A,골목상권,1000300,종암로16길,12
248,2020,2,A,골목상권,1000301,종암로19길,26
249,2020,2,A,골목상권,1000302,종암로21길,14
250,2020,2,A,골목상권,1000303,종암로24가길,7
251,2020,2,A,골목상권,1000304,종암로5길,11
252,2020,2,A,골목상권,1000305,지봉로20길,13
253,2020,2,A,골목상권,1000306,창경궁로43길,17
254,2020,2,A,골목상권,1000307,한천로101가길,4
255,2020,2,A,골목상권,1000308,한천로76길,9
256,2020,2,A,골목상권,1000309,화랑로13길,19
257,2020,2,A,골목상권,1000310,화랑로14길,8
258,2020,2,A,골목상권,1000311,화랑로19길,8
259,2020,2,A,골목상권,1000312,화랑로1길,13
260,2020,2,A,골목상권,1000313,화랑로32길,6
261,2020,2,A,골목상권,1000314,화랑로40길,11
