,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,총_유동인구_수,집객시설_수,당월_매출_금액,총 상주인구 수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
234,2020,2,발달상권,1001244,경희대학교,70,677176.0,11.0,14638669115.0,373.0,2.0,20.0,87028409.0
235,2020,2,발달상권,1001243,서울 성북구 안암역,59,294352.0,15.0,7988049147.0,,1.0,19.0,81750000.0
236,2020,2,발달상권,1001242,혜화역 대학로_3,477,1091072.0,47.0,24167926593.0,629.0,11.0,42.0,152628083.0
237,2020,2,발달상권,1001241,혜화역 대학로_2,334,517590.0,21.0,3282049460.0,791.0,10.0,66.0,214224386.0
238,2020,2,발달상권,1001240,혜화역 대학로_1,1230,572022.0,49.0,21687254384.0,489.0,13.0,67.0,193230128.0
239,2020,2,발달상권,1001239,디지털미디어시티,6727,291826.0,58.0,43369811714.0,,,,
240,2020,2,발달상권,1001238,서울 동대문구 청량리역,776,989768.0,107.0,35482674512.0,2678.0,3.0,95.0,397727585.0
241,2020,2,발달상권,1001237,서울 종로구 경복궁역_2,239,101792.0,22.0,8613286920.0,279.0,3.0,65.0,266722222.0
242,2020,2,발달상권,1001236,서울 종로구 안국역_2,810,98210.0,21.0,6124178868.0,277.0,2.0,71.0,215900000.0
243,2020,2,발달상권,1001235,서울 종로구 안국역_1,8804,87139.0,23.0,10260913226.0,,,,
244,2020,2,발달상권,1001234,서울 종로구 경복궁역_1,599,361450.0,29.0,12884163494.0,584.0,7.0,67.0,261017687.0
